bad,reason,job,loan,mortdue,value,yoj,derog,delinq,clage,ninq,clno,debtinc
1,HomeImp,Other,1100,25860,39025,10.5,0,0,94.37,1,9,33.7799181760068
1,HomeImp,Other,1300,70053,68400,7,0,2,121.83,0,14,33.7799181760068
1,HomeImp,Other,1500,13500,16700,4,0,0,149.47,1,10,33.7799181760068
1, , ,1500,73760.817199559,101776.04874145,8.9222681359045,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,33.7799181760068
0,HomeImp,Office,1700,97800,112000,3,0,0,93.33,0,14,33.7799181760068
1,HomeImp,Other,1700,30548,40320,9,0,0,101.47,1,8,37.114
1,HomeImp,Other,1800,48649,57037,5,3,2,77.1,1,17,33.7799181760068
1,HomeImp,Other,1800,28502,43034,11,0,0,88.77,0,8,36.885
1,HomeImp,Other,2000,32700,46740,3,0,2,216.93,1,12,33.7799181760068
1,HomeImp,Sales,2000,73760.817199559,62250,16,0,0,115.8,0,13,33.7799181760068
1, , ,2000,22608,101776.04874145,18,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,33.7799181760068
1,HomeImp,Office,2000,20627,29800,11,0,1,122.53,1,9,33.7799181760068
1,HomeImp,Other,2000,45000,55000,3,0,0,86.07,2,25,33.7799181760068
0, ,Mgr,2000,64536,87400,2.5,0,0,147.13,0,24,33.7799181760068
1,HomeImp,Other,2100,71000,83850,8,0,1,123,0,16,33.7799181760068
1,HomeImp,Other,2200,24280,34687,8.9222681359045,0,1,300.87,0,8,33.7799181760068
1,HomeImp,Mgr,2200,90957,102600,7,2,6,122.9,1,22,33.7799181760068
1, , ,2200,23030,101776.04874145,19,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,3.711
1,HomeImp,Other,2300,28192,40150,4.5,0,0,54.6,1,16,33.7799181760068
0,HomeImp,Office,2300,102370,120953,2,0,0,90.99,0,13,31.589
1,HomeImp,Other,2300,37626,46200,3,0,1,122.27,1,14,33.7799181760068
1,HomeImp,ProfEx,2400,50000,73395,5,1,0,179.766275654635,1,0,33.7799181760068
1,HomeImp,Mgr,2400,28000,40800,12,0,0,67.2,2,22,33.7799181760068
1,HomeImp,Mgr,2400,18000,101776.04874145,22,.254569687738005,2,121.73,0,10,33.7799181760068
1,HomeImp,Other,2400,73760.817199559,17180,8.9222681359045,0,0,14.57,3,4,33.7799181760068
1,HomeImp,Mgr,2400,34863,47471,12,0,0,70.49,1,21,38.264
0,HomeImp,Office,2400,98449,117195,4,0,0,93.81,0,13,29.682
1,HomeImp, ,2500,15000,20200,18,0,0,136.07,1,19,33.7799181760068
1,HomeImp,Other,2500,25116,36350,10,1,2,276.97,0,9,33.7799181760068
0,HomeImp,Self,2500,7229,44516,8.9222681359045,0,0,208,0,12,33.7799181760068
0,HomeImp,ProfEx,2500,71408,78600,8,0,0,255.73,0,12,33.7799181760068
1,HomeImp,Self,2800,50795,63100,26,2,15,145.63,3,45,33.7799181760068
1,HomeImp,Other,2800,4000,60850,16,4,0,112.63,2,9,33.7799181760068
1,DebtCon,ProfEx,2900,78600,113000,6,1,0,165.33,2,26,33.7799181760068
0,HomeImp,Office,2900,103949,112505,1,0,0,96.1,0,13,30.051
0,HomeImp,Office,2900,104373,120702,2,0,0,101.54,0,13,29.916
1,HomeImp,Other,2900,7750,67996,16,3,0,122.2,2,8,36.211
1,DebtCon,Mgr,2900,61962,70915,2,0,0,282.8,3,37,49.206
0,HomeImp,Office,3000,104570,121729,2,0,0,85.88,0,14,32.06
1,HomeImp,Other,3000,7000,20300,3,0,0,50.8,5,9,33.7799181760068
1,HomeImp,Other,3000,73760.817199559,8800,2,0,1,77.77,0,3,33.7799181760068
1,HomeImp,Other,3000,73760.817199559,33000,1,0,1,23.3,1,2,33.7799181760068
1,HomeImp,Other,3000,119826,193500,8,0,0,130.03,0,27,33.7799181760068
1,DebtCon,Other,3000,20000,29750,2,0,0,187.07,0,12,33.7799181760068
1,HomeImp,Other,3000,73760.817199559,14500,3,0,0,9.3,14,2,33.7799181760068
1,HomeImp,Other,3000,73760.817199559,14100,1,0,0,104.2,0,19,33.7799181760068
1,HomeImp,ProfEx,3000,47000,82700,10,0,1,262.17,5,26,33.7799181760068
1,HomeImp,Mgr,3000,34542,45900,8.5,0,2,62.37,0,10,33.7799181760068
0,HomeImp,Mgr,3000,58000,71500,10,.254569687738005,2,211.93,0,25,33.7799181760068
0,HomeImp,Office,3000,47000,56400,21,0,0,201.87,0,20,33.7799181760068
1,HomeImp,Other,3100,39589,36100,1.5,0,0,153.17,1,14,33.7799181760068
0, , ,3100,73760.817199559,70400,8.9222681359045,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,33.7799181760068
0,HomeImp,Mgr,3200,67848,74566,10,.254569687738005,1,206.43,0,25,40.116
1,HomeImp,ProfEx,3200,48603,61000,28,0,4,122.03,1,25,33.7799181760068
1,HomeImp,Other,3200,27200,40834,8.9222681359045,0,0,298.13,0,7,35.554
1,HomeImp,Other,3200,54000,64850,1,0,0,121.87,3,21,33.7799181760068
0,HomeImp,ProfEx,3200,74864,87266,7,0,0,250.63,0,12,42.91
1,HomeImp,Mgr,3200,23159,101776.04874145,20,.254569687738005,2,117.81,0,9,.524
1,HomeImp,Sales,3300,126541,134527,9,1,0,139,0,36,33.7799181760068
1,DebtCon,Other,3300,130518,164317,9,0,6,192.29,0,33,35.731
1,HomeImp,Office,3400,37000,52000,2,0,1,183.3,0,6,33.7799181760068
1,HomeImp,Other,3500,23200,38666,11,0,0,162.37,0,14,33.7799181760068
1,HomeImp,Other,3500,19400,20494,5,0,0,95.93,0,9,33.7799181760068
1,HomeImp,ProfEx,3600,61584,61800,10,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,33.7799181760068
1,HomeImp,Mgr,3600,41900,52490,3,0,0,72.03,2,4,33.7799181760068
0,HomeImp,ProfEx,3600,83700,111800,6,0,0,192.73,1,28,33.7799181760068
0,HomeImp,Mgr,3600,61327,76484,9,.254569687738005,2,202.51,0,25,41.516
0,HomeImp,Office,3600,100693,114743,6,0,0,88.47,0,14,29.394
1,DebtCon,Office,3600,48507,61000,13,1,4,97.4,0,17,33.7799181760068
0,HomeImp,Office,3600,52337,63989,20,0,0,204.27,0,20,20.471
1,HomeImp,Other,3700,17857,21144,5,0,0,129.72,1,9,26.634
1,HomeImp,Mgr,3800,19135,97692,1.6,1,6,252.63,1,25,33.7799181760068
0,HomeImp,Office,3800,51180,63459,20,0,0,203.75,0,20,20.067
0, , ,3800,73760.817199559,73189,8.9222681359045,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,22.254
0,HomeImp,Self,3800,11543,46045,8.9222681359045,0,0,204.65,0,11,42.173
1,HomeImp,Other,3900,29896,45960,11,0,0,146.12,0,14,24.479
1,HomeImp,Other,3900,14500,22092,3.5,0,1,150.3,5,8,33.7799181760068
0,DebtCon,ProfEx,3900,52825,63000,8,0,4,171.67,1,31,33.7799181760068
0,HomeImp,Office,3900,102143,118742,2,0,0,85.28,0,13,29.344
1,DebtCon,Mgr,3900,21200,39000,4,0,1,86.57,2,14,33.7799181760068
0,HomeImp,Office,4000,105164,112774,1,0,0,94.72,0,13,29.391
0,HomeImp,Office,4000,54543,61777,21,0,0,205.59,0,19,21.807
1,HomeImp,Other,4000,73760.817199559,80609,1.5,0,2,126.53,3,12,33.7799181760068
1,HomeImp,Office,4000,26572,31960,11,0,0,117.8,0,8,41.286
1,HomeImp,ProfEx,4000,17000,52012,22,3,1,85.33,1,9,33.7799181760068
1,DebtCon,Other,4000,29562,37200,6,0,0,92.13,1,26,33.7799181760068
1,HomeImp,Other,4000,41700,76725,.5,0,3,136.13,0,15,33.7799181760068
1,HomeImp,Other,4000,58000,69440,3.5,0,1,168.67,0,18,33.7799181760068
1,DebtCon,Other,4000,5700,18000,8.9222681359045,0,0,12.2,0,17,33.7799181760068
1,HomeImp,Mgr,4000,45000,58350,3.5,0,0,162,3,16,33.7799181760068
1,HomeImp,Other,4000,7000,16020,18,0,1,85.8,2,23,33.7799181760068
0,HomeImp,Other,4000,66000,79050,1.8,2,0,279,1,6,33.7799181760068
0,HomeImp, ,4000,73760.817199559,45760,0,0,0,179.766275654635,0,0,33.7799181760068
0,HomeImp,Other,4000,62000,78000,4,0,0,109.57,0,15,33.7799181760068
0,HomeImp,Sales,4000,64240,63990,5,2,0,160.3,1,23,33.7799181760068
1,HomeImp,ProfEx,4000,74000,93000,2.6,1,3,186.63,1.18605504587156,9,33.7799181760068
1,DebtCon,Other,4000,55000,59000,12,2,0,146.1,0,22,33.7799181760068
0,HomeImp,Mgr,4000,67625,80698,11,.254569687738005,1,212.35,0,25,39.129
0,HomeImp,Mgr,4000,67533,71865,10,.254569687738005,2,227.79,0,25,39.166
1,HomeImp,Other,4100,73760.817199559,19132,0,0,0,100.77,0,19,33.841
1,HomeImp,Other,4100,58500,65000,8,1,2,63.93,2,15,33.7799181760068
0,DebtCon,ProfEx,4100,57992,63797,7,0,4,165.51,1,31,22.278
0,HomeImp,Office,4200,56544,59218,19,0,0,211,1,20,19.028
1,HomeImp,Other,4200,34800,50225,2,1,0,93.5,1,5,33.7799181760068
0,DebtCon,Sales,4200,67700,77000,4,0,0,128.83,0,31,33.7799181760068
0,DebtCon, ,4200,44000,55085,6,.254569687738005,1,75.43,1.18605504587156,16,33.7799181760068
0,HomeImp,Other,4200,66272,82953,3,0,0,110.28,0,15,43.451
0,HomeImp,Office,4200,50216,58541,19,0,0,209.87,0,19,20.208
0,DebtCon,Sales,4300,71206,78698,3,0,0,129.93,0,31,34.181
0,HomeImp,Other,4300,68815,79852,6,0,0,105.12,0,14,41.806
0,HomeImp,Other,4300,72021,80027,2,2,0,263.97,0,5,36.432
0,DebtCon,ProfEx,4400,53969,63869,7,0,3,162.39,0,30,23.581
0, , ,4400,73760.817199559,60250,8.9222681359045,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,33.7799181760068
1,DebtCon,Office,4400,53091,64074,14,1,3,89.86,0,17,39.158
0,HomeImp,Other,4500,66127,79087,4,1,0,81.35,0,15,40.705
0, , ,4500,73760.817199559,77182,8.9222681359045,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,25.227
1,HomeImp,Other,4500,39000,66000,1,0,0,170.37,1,19,33.7799181760068
0,HomeImp,Other,4500,71082,79247,4,0,0,118.76,0,14,41.421
0,HomeImp, ,4500,73760.817199559,49044,0,0,0,179.766275654635,0,0,11.653
1,HomeImp,Other,4500,57000,101776.04874145,5,.254569687738005,.449442379182156,222.6,1,13,33.7799181760068
1,HomeImp,Mgr,4500,34184,46000,3.5,0,1,122.6,2,22,33.7799181760068
1,DebtCon,ProfEx,4500,66517,87000,10,0,4,125.8,0,34,33.7799181760068
0,HomeImp,Other,4500,45500,50000,6,0,0,86.17,0,18,33.7799181760068
1,HomeImp,ProfEx,4500,118000,146870,4.5,2,0,203.87,1,20,33.7799181760068
1,HomeImp,Other,4500,90000,105800,6,2,3,80.1,3,10,33.7799181760068
0, ,Mgr,4700,67913,97205,2,0,0,142.82,0,24,35.227
0,HomeImp,Other,4700,71855,88566,2,2,0,283.96,0,5,36.475
0,DebtCon, ,4700,53918,59511,6,.254569687738005,0,54.14,1.18605504587156,15,34.417
1,HomeImp,ProfEx,4700,49100,58238,.1,0,0,61.8,2,17,33.7799181760068
